symbol,close,rsi,sma,signal
CLAV.ST,3.690000057220459,47.59358534217972,3.6294999957084655,AVVAKTA
CTM.ST,2.299999952316284,16.36361482056897,2.7200000166893004,AVVAKTA
ENEA.ST,82.30000305175781,38.888896738058,86.0450008392334,AVVAKTA
IMMNOV.ST,0.27399998903274536,33.24742893607896,0.3356500014662743,AVVAKTA
INISS-B.ST,38.0,50.0,38.23500022888184,AVVAKTA
INVE-A.ST,300.70001220703125,45.31250000000001,307.63999938964844,AVVAKTA
IRLAB-A.ST,7.900000095367432,65.2061869131669,6.433500003814697,AVVAKTA
IVSO.ST,406.5,42.201834862385326,416.1,AVVAKTA
JLT.ST,2.4200000762939453,56.52174701762924,2.26599999666214,AVVAKTA
ARISE.ST,34.45000076293945,42.25353853163294,35.82500019073486,AVVAKTA
