symbol,close,rsi,sma,signal
CTM.ST,2.4800000190734863,24.489784002397812,2.7290000200271605,AVVAKTA
ENEA.ST,81.69999694824219,36.87499195337679,86.01500053405762,AVVAKTA
IMMNOV.ST,0.27000001072883606,32.12436305272678,0.3354500025510788,AVVAKTA
INISS-B.ST,37.20000076293945,42.85713312574974,38.19500026702881,AVVAKTA
INVE-A.ST,300.20001220703125,44.44444444444444,307.61499938964846,AVVAKTA
IRLAB-A.ST,7.840000152587891,64.7058841463712,6.43050000667572,AVVAKTA
IVSO.ST,398.0,37.3134328358209,415.675,AVVAKTA
JLT.ST,2.359999895095825,53.48837015885337,2.262999987602234,AVVAKTA
ARISE.ST,34.099998474121094,39.259259677881495,35.80750007629395,AVVAKTA
EOLU-B.ST,52.599998474121094,38.461519113950104,54.77999992370606,AVVAKTA
RAY-B.ST,226.5,41.474654377880185,242.1,AVVAKTA
SUS.ST,124.19999694824219,37.499975546774124,132.63499946594237,AVVAKTA
SUSG.ST,0.875,28.571418840052033,0.9242499977350235,AVVAKTA
G5EN.ST,123.0,52.27272579492571,126.63999938964844,AVVAKTA
MAGI.ST,8.739999771118164,60.46511627906977,8.767999935150147,AVVAKTA
NITRO.ST,1.659999966621399,46.77418703591295,1.6614999890327453,AVVAKTA
SF.ST,4.76800012588501,28.110172431125818,5.426300048828125,AVVAKTA
STWK.ST,24.399999618530273,61.176465836364336,24.042500019073486,AVVAKTA
FNOX.ST,86.80000305175781,86.16237192551439,67.41800003051758,AVVAKTA
APOTEA.ST,72.69000244140625,38.33654385479934,74.82149963378906,AVVAKTA
SAND.ST,212.0,29.370622654938146,228.2650001525879,AVVAKTA
