symbol,macd,signal,histogram,close,sma50,trade_signal,prev
AAK.ST,-5.263574619216172,-5.8839985986812575,0.6204239794650857,279.6000061035156,298.6439984130859,AVVAKTA,"{'macd': -5.263574619216172, 'signal': -5.8839985986812575}"
BILL.ST,-2.751580659595291,-1.867573752004125,-0.8840069075911661,107.0,114.58399963378906,SÄLJ,"{'macd': -2.751580659595291, 'signal': -1.867573752004125}"
DUST.ST,-0.0021493717531777534,-0.017168935807027958,0.015019564053850205,4.046000003814697,3.9967999982833864,KÖP,"{'macd': -0.0021493717531777534, 'signal': -0.017168935807027958}"
FING-B.ST,-0.0010462100408581577,-0.0013975312625414552,0.0003513212216832975,0.012199999764561653,0.014616459980607033,AVVAKTA,"{'macd': -0.0010462100408581577, 'signal': -0.0013975312625414552}"
MIDS.ST,-0.07185357825468608,-0.08566297190772444,0.013809393653038363,0.7049999833106995,0.945399992465973,AVVAKTA,"{'macd': -0.07185357825468608, 'signal': -0.08566297190772444}"
NGS.ST,-0.02557118714111617,-0.017183773301079508,-0.008387413840036662,3.0899999141693115,3.1433999967575073,SÄLJ,"{'macd': -0.02557118714111617, 'signal': -0.017183773301079508}"
ORX.ST,-0.5261067520467755,-0.5439387338573259,0.017831981810550457,14.039999961853027,16.620000019073487,AVVAKTA,"{'macd': -0.5261067520467755, 'signal': -0.5439387338573259}"
SDIP-B.ST,-6.6857618720978,-6.211004370989091,-0.4747575011087086,185.89999389648438,211.5879998779297,SÄLJ,"{'macd': -6.6857618720978, 'signal': -6.211004370989091}"
SOBI.ST,-5.924533938130821,-6.653528262161318,0.7289943240304968,285.6000061035156,310.5519989013672,AVVAKTA,"{'macd': -5.924533938130821, 'signal': -6.653528262161318}"
STIL.ST,-0.9297346930027004,1.1212437675733187,-2.050978460576019,227.0,238.64,SÄLJ,"{'macd': -0.9297346930027004, 'signal': 1.1212437675733187}"
VICO.ST,-0.215320710233466,-0.20979122571641623,-0.005529484517049765,7.190000057220459,7.989999990463257,SÄLJ,"{'macd': -0.215320710233466, 'signal': -0.20979122571641623}"
WNT.ST,-0.018104462819101608,-0.00876836644842072,-0.009336096370680887,0.5099999904632568,0.6312399971485138,SÄLJ,"{'macd': -0.018104462819101608, 'signal': -0.00876836644842072}"
BMAX.ST,0.795498770357284,0.726899791873652,0.06859897848363206,52.849998474121094,49.9873999786377,KÖP,"{'macd': 0.795498770357284, 'signal': 0.726899791873652}"
CLAS-B.ST,-0.820052788198808,-2.608957669335923,1.7889048811371149,242.8000030517578,237.26400115966797,KÖP,"{'macd': -0.820052788198808, 'signal': -2.608957669335923}"
DUNI.ST,-0.06221311617082392,0.13232179792903973,-0.19453491409986365,100.19999694824219,100.76399963378907,SÄLJ,"{'macd': -0.06221311617082392, 'signal': 0.13232179792903973}"
ELON.ST,-0.5039972109554895,-0.3932732269593159,-0.11072398399617367,23.0,25.20600009918213,SÄLJ,"{'macd': -0.5039972109554895, 'signal': -0.3932732269593159}"
